time_s,tank_TANK,pump_PUMP1,pump_PUMP2
0,6.0,OFF,OFF
300,5.912024714433812,OFF,OFF
600,5.824049428867625,OFF,OFF
900,5.736074143301437,OFF,OFF
1200,5.648098857735249,OFF,OFF
1500,5.560123572169061,OFF,OFF
1800,5.472148286602874,OFF,OFF
2100,5.384173001036686,OFF,OFF
2400,5.296197715470498,OFF,OFF
2700,5.2082224299043105,OFF,OFF
3000,5.120247144338123,OFF,OFF
3300,5.032271858771935,OFF,OFF
3600,4.944296573205747,OFF,OFF
3900,4.859212881677962,OFF,OFF
4200,4.774129190150177,OFF,OFF
4500,4.6890454986223915,OFF,OFF
4800,4.603961807094606,OFF,OFF
5100,4.518878115566821,OFF,OFF
5400,4.433794424039036,OFF,OFF
5700,4.34871073251125,OFF,OFF
6000,4.263627040983465,OFF,OFF
6300,4.17854334945568,OFF,OFF
6600,4.093459657927895,OFF,OFF
6900,4.008375966400109,OFF,OFF
7200,3.9638477302889896,ON,OFF
7500,3.9256834906178284,ON,OFF
7800,3.887540267377233,ON,OFF
8100,3.8494180454485303,ON,OFF
8400,3.81131680972193,ON,OFF
8700,3.773236545104851,ON,OFF
9000,3.7351772365219063,ON,OFF
9300,3.6971388689148768,ON,OFF
9600,3.659121427242681,ON,OFF
9900,3.6211248964813194,ON,OFF
10200,3.5831492616238876,ON,OFF
10500,3.545194507680506,ON,OFF
10800,3.5072606196782914,ON,OFF
11100,3.4861627579428216,ON,OFF
11400,3.4650767352114826,ON,OFF
11700,3.444002542451898,ON,OFF
12000,3.422940171456517,ON,OFF
12300,3.4018896140344594,ON,OFF
12600,3.380850862010192,ON,OFF
12900,3.359823907222264,ON,OFF
13200,3.3388087415223993,ON,OFF
13500,3.317805356774798,ON,OFF
13800,3.2968137448555126,ON,OFF
14100,3.275833897652035,ON,OFF
14400,3.2548658070628846,ON,OFF
14700,3.240856309503627,ON,OFF
15000,3.226854654144347,ON,OFF
15300,3.212860835663591,ON,OFF
