time_s,tank_TANK,pump_PUMP1,pump_PUMP2
0,6.0,0,0
900,5.7360764,0,0
1800,5.4721527,0,0
2700,5.2082214,0,0
3600,4.944298,0,0
4500,4.689049,0,0
5400,4.4337997,0,0
6300,4.1785507,0,0
7200,3.9638596,1,0
8100,3.8494263,1,0
9000,3.7351913,1,0
9900,3.6211395,1,0
10800,3.5072708,1,0
11700,3.4440155,1,0
12600,3.380867,1,0
13500,3.3178177,1,0
14400,3.2548828,1,0
15300,3.2128754,1,0
16200,3.1709442,1,0
17100,3.129074,1,0
18000,3.087288,1,0
18900,3.056015,1,0
19800,3.0248032,1,0
20700,2.993637,1,0
21600,2.962532,1,0
22500,2.9066467,1,0
23400,2.8508453,1,0
24300,2.7951508,1,0
25200,2.73954,1,0
26100,2.6964264,1,0
27000,2.6533966,1,0
27900,2.6104279,1,0
28800,2.5675354,1,0
29700,2.5422974,1,0
30600,2.517105,1,0
31500,2.4919586,1,0
32400,2.4668503,1,0
33300,2.3953934,1,0
34200,2.3240662,1,0
35100,2.2528534,1,0
36000,2.181755,1,0
36900,2.0823288,1,0
37800,1.9830551,1,0
38700,1.8839569,1,0
39600,1.7850189,1,0
40500,1.7358322,1,0
41400,1.6867218,1,0
42300,1.6376953,1,0
43200,1.5887451,1,0
44100,1.5459671,1,0
45000,1.5032578,1,0
45900,1.4606247,1,0
46800,1.4180527,1,0
47700,1.3849564,1,0
48600,1.3519058,1,0
49500,1.3189163,1,0
50400,1.2859726,1,0
51300,1.2473373,1,0
52200,1.2087708,1,0
53100,1.1702652,1,0
54000,1.1318207,1,0
54900,1.0972748,1,0
55800,1.0627823,1,0
56700,1.0283508,1,0
57600,1.0089111,1,1
58500,1.0506516,1,1
59400,1.0922852,1,1
60300,1.1338196,1,1
61200,1.1752548,1,1
62100,1.1584167,1,1
63000,1.1416245,1,1
63900,1.1248703,1,1
64800,1.1081619,1,1
65700,1.067482,1,1
66600,1.0269089,1,1
67500,0.98643494,1,1
68400,0.9460602,1,1
69300,0.9119415,1,1
70200,0.8779144,1,1
71100,0.84397125,1,1
72000,0.810112,1,1
72900,0.8018646,1,1
73800,0.79364014,1,1
74700,0.7854309,1,1
75600,0.7772522,1,1
76500,0.7840347,1,1
77400,0.79080963,1,1
78300,0.79756165,1,1
79200,0.8042984,1,1
80100,0.81944275,1,1
81000,0.8345413,1,1
81900,0.8496094,1,1
82800,0.8646393,1,1
83700,0.874733,1,1
84600,0.8848114,1,1
85500,0.8948593,1,1
86400,0.90488434,1,1
